Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2020-01-25,Valencia,Barcelona,2,0,H,0,0,D,8,14,6,5,2,0,13,16,1,3,0,0,2,4,2,0,2,0,2,8,9
SP1,2020-01-25,Alaves,Villarreal,1,2,A,0,1,A,12,11,6,6,7,4,10,12,2,1,0,0,11,3,3,1,1,1,2,5,10
SP1,2020-01-25,Sevilla,Granada,2,0,H,2,0,H,12,8,4,1,3,6,13,18,4,1,0,0,9,5,2,0,0,0,0,5,6
SP1,2020-01-26,Ath Madrid,Leganes,0,0,D,0,0,D,14,10,3,4,7,6,10,19,2,6,0,1,13,8,0,0,0,0,0,10,8
SP1,2020-01-26,Celta,Eibar,0,0,D,0,0,D,18,5,5,3,6,3,9,16,1,0,0,0,9,1,0,0,0,0,0,3,7
SP1,2020-01-26,Getafe,Betis,1,0,H,0,0,D,7,8,3,1,8,4,19,12,2,4,0,1,12,6,1,0,1,0,1,9,8
SP1,2020-01-26,Sociedad,Mallorca,3,0,H,0,0,D,14,8,5,4,7,3,15,7,0,2,0,0,10,2,3,0,3,0,3,5,4
SP1,2020-01-26,Valladolid,Real Madrid,0,1,A,0,0,D,4,12,0,3,3,5,7,11,1,3,0,0,8,4,1,0,0,1,1,4,9
SP1,2020-02-01,Granada,Espanol,2,1,H,1,1,D,8,22,2,4,3,9,15,17,3,3,0,0,12,6,3,1,1,0,1,3,6
SP1,2020-02-01,Real Madrid,Ath Madrid,1,0,H,0,0,D,16,4,5,1,5,6,18,11,2,3,0,0,11,5,1,0,1,0,1,11,10
SP1,2020-02-01,Mallorca,Valladolid,0,1,A,0,0,D,16,15,4,7,8,5,11,10,4,1,0,0,13,5,1,0,0,1,1,4,3
SP1,2020-02-01,Valencia,Celta,1,0,H,0,0,D,9,11,5,4,4,7,14,20,6,3,0,0,11,9,1,0,1,0,1,8,4
SP1,2020-02-02,Leganes,Sociedad,2,1,H,0,1,A,12,2,5,1,3,1,24,19,4,3,0,0,4,7,3,1,2,0,2,6,7
SP1,2020-02-02,Eibar,Betis,1,1,D,1,1,D,8,14,3,6,2,7,15,16,2,2,0,0,9,4,2,1,0,0,0,8,5
SP1,2020-02-02,Ath Bilbao,Getafe,0,2,A,0,1,A,8,9,2,3,5,4,11,19,2,5,0,0,9,7,2,0,0,1,1,5,9
SP1,2020-02-02,Sevilla,Alaves,1,1,D,0,0,D,14,4,3,3,6,1,13,12,2,1,0,0,7,3,2,1,1,1,2,7,5
SP1,2020-02-02,Villarreal,Osasuna,3,1,H,1,0,H,9,17,4,5,4,6,19,15,3,2,0,0,10,5,4,1,2,1,3,12,5
SP1,2020-02-02,Barcelona,Levante,2,1,H,2,0,H,23,10,9,5,8,3,6,10,2,0,0,0,11,2,3,1,0,1,1,8,6
